"Integrated Scheme of School Education
                               ",,,,,,
Major Component,Sub Component,,,Activity Master,Norms,Criteria For Appraisal
Elementary Education,,,,,,
Access & Retention,Opening of New / Upgraded Schools,1,,Opening of New Schools  - NR (Elementary),,
,,,1.1,Composite School for Elementary,As per  State SORs/CPWD Rate (Which ever is less),
,,,1.2,Upgradation of PS to UPS (VI -VIII),As per  State SORs/CPWD Rate (Which ever is less),
,,2,,Opening of New Schools - Recurring (Elementary),,
,,,2.1,Recurring Cost - New Primary (Samagra),,
,,,2.2,Recurring Cost - New Upper Primary (Samagra),,
,,,2.3,Recurring Cost - Primary (Previous) (Samagra),,
,,,2.4,Recurring Cost - Upper Primary (Previous) (Samagra),,
,Netaji Subhas Chandra Avasiya Vidhyalaya,10,,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),,
,,,10.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,10.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,10.3,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,,10.4,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
,,,10.5,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,10.6,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,130.1,Recurring Cost (ICT & Digital Initiatives) (Secondary & Sr. Secondary)  (Option - I) (New),@Rs 2.40 lacs per school,
,,,130.2,Recurring Cost (ICT & Digital Initiatives) (Secondary & Sr. Secondary)  (Option - I) (Existing),@Rs 2.40 lacs per school,
,,,130.3,Smart Classroom (Recurring) (Secondary & Sr. Secondary) (Option - II) (Existing),@Rs 0.38 lacs per school,
,,,130.4,Smart Classroom (Recurring) (Secondary & Sr. Secondary) (Option - II) (New),@Rs 0.38 lacs per school,
Financial Support for Teachers,Financial Support for Teachers (HMs/Teachers),157,,Financial Support for Teachers (Secondary),,
,,,157.8,Financial Support for Teacher Salary (Secondary),,
,Appointment of Language Teachers,159,,Language Teachers in NER (Hindi)  (Secondary & Sr. Secondary),,
,,,159.1,Hindi Teacher (New),Physical Number should proposed No. of  Teacher,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
,,,159.2,Hindi Teacher (Previous),Physical Number should proposed No. of  Teacher,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
,,,159.3,Billengual Teaching Learning Materials and Books,Rs. 150/- per Student.  Physical Number should proposed No. of Students,
,,,159.4,Training of Hindi Teacher (New),Upto Rs 300-500/- per teacher per day. Physical Number should proposed per Teacher,
,,,159.5,Training of Hindi Teacher (Previous),Upto Rs 300-500/- per teacher per day. Physical Number should proposed per Teacher,
,,160,,Language Teachers in States/UTs (Urdu) (Secondary & Sr. Secondary),,
,,,160.1,Urdu Teacher (New),Physical Number should be proposed No. of Teacher,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
,,,160.2,Urdu Teacher (Previous),Physical Number should be proposed No. of Teacher,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
,,,160.3,Billengual Teaching Learning Materials and Books,Rs. 150/- per Student.  Physical Number should proposed No. of Students,
,,,160.4,Training of Urdu Teacher (New),Upto Rs 300-500/- per teacher per day. Physical Number should proposed per Teacher,
,,,160.6,Training of Urdu Teacher (Previous),Upto Rs 300-500/- per teacher per day. Physical Number should proposed per Teacher,
Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),175,,KGBV - Type - IV (NR) (New) (Classes IX - XII),,
,,,175.1,Construction of Building (New),As per  State SORs/CPWD Rate (Which ever is less),
,,,175.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,175.3,Boring / Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,175.4,Furniture & Equipment (Including Kitchen),Physical Number should proposed per Students,
,,,175.5,TLM and equipment including library books,Physical Number should be proposed on no. of Girls Students,
,,,175.6,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,,175.14,Sanitary Pad Vending and Incinerator Machines (IX - XII),,
,,176,,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),,
,,,176.1,No. of KGBVs (New) - Model IV,"Enter Physical No. of New KGBV proposed current year, Financial budget would be Zero for this activity",
,,,176.2,Food/Lodging per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,176.3,Stipend per girl per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,176.4,"Supplementary TLM, Stationery and other educational material",Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,176.5,Examination Fee,Physical Number should proposed per Girl Student,
,,,176.6,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,176.7,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,176.8,1 Chowkidar,Physical Number should proposed per Chowkidar per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,176.9,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,176.10,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,176.11,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,176.12,Specific skill training per girl,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,176.13,Electricity / Water Charges,Physical Number should proposed per Girl Student per annum,
,,,176.14,Medical care / Contingencies,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,176.15,Maintenance,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,176.16,Miscellaneous,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,176.17,Preparatory Camps,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
,,,176.18,P.T.A.,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,176.19,Provision of Rent,Physical Number should proposed per Girl Student per annum,
,,,176.20,Capacity Building,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
,,,176.21,Physical / Self Defence,Physical Number should proposed per KGBV per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,177,,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),,
,,,177.1,Construction of Building (New),As per  State SORs/CPWD Rate (Which ever is less),
,,,177.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,177.3,Boring / Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,177.4,Furniture & Equipment (Including Kitchen),Physical Number should proposed per Students,
,,,177.5,TLM and equipment including library books,Physical Number should be proposed on no. of Girls Students,
,,,177.6,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,,177.7,Replacement of bedding (once in 3 years),Physical should be proposed per Student,
,,178,,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),,
,,,178.1,Food/Lodging per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,178.2,Stipend per girl per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,178.3,"Supplementary TLM, Stationery and other educational material",Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,178.4,Examination Fee,Physical Number should proposed per Girl Student,
,,,178.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,178.6,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,178.7,1 Chowkidar,Physical Number should proposed per Chowkidar per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,178.8,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,178.9,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,178.10,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,178.11,Specific skill training per girl,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,178.12,Electricity / Water Charges,Physical Number should proposed per Girl Student per annum,
,,,178.13,Medical care / Contingencies,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,178.14,Maintenance,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,178.15,Miscellaneous,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,178.16,Preparatory Camps,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
,,,178.17,P.T.A.,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,178.18,Provision of Rent,Physical Number should proposed per Girl Student per annum,
,,,178.19,Capacity Building,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
,,,178.20,Physical / Self Defence,Physical Number should proposed per KGBV per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,Rani Laxmibai Atma Raksha Prashikshan,183,,Rani Laxmibai Atma Raksha Prashikshan (upto Highest Class X or XII),,
,,,183.1,Rani Laxmibai Atma Raksha Prashikshan   (Upto Class X or XII),Provision for upto Rs. 5000 per month for 3 months per school.,
,Special Projects for Equity,185,,Special Projects for Equity - (NR) (Secondary),,
,,,185.1,Sanitary pad Vending & incinerator machines,Government Schools having girls enrollment from Class 9 - 12,
,,190,,Project- Girls Empowerment  (Secondary),,
,,,190.1,Adolescent Programme for Girls Students,Physical Number should proposed No. of Girls,
,,,190.2,Career Guidance Programme for Girls,Physical Number should proposed No of Girls Student,
Inclusive Education,Provision for Children with Special Needs (CWSN),202,,Student Oriented Components (Upto Highest Class - XII) (District Level)  (Recurring),,
,,,202.1,Purchase/Development of instructional & Training materials,,
,,,202.2,Sports & Exposure Visit,,
,,,202.3,Therapeutic Services,,
,,,202.4,"Orientation of Principals, Educational administrators, parents / guardians etc.",,
,,203,,Student Oriented Components (Upto Highest Class - XII) (Block Level)  (Recurring),,
,,,203.2,Teacher Need Analysis for Training,,
,,,203.3,Gap Identification for OoSCwSN,,
,,,203.4,"Assistive Devices,Equipments and TLM",,
,,,203.5,Environment Building programme,,
,,,203.6,Helper/Ayas/Attendant,,
,,204,,Student Oriented Components (Upto Highest Class - XII) (Student Specific)  (Recurring),,
,,,204.3,Escort Allowance,,
,,,204.4,Transport Allowance,,
,,,204.5,Home Based Education,,
,,,204.6,"Braille Stationary Material (Inc. Embossed Charts, globes etc)",,
,,,204.7,Providing Aids & Appliances,,
,,,204.8,Reader Allowance- For only VI and Low vision,,
,,205,,Stipend for Girls (Upto Highest Class - XII)  (Recurring),,
,,,205.1,Stipend for Girls,Rs. 200 per month for 10 months,CWSN Enrolment as per UDISE +
,,207,,Identification & Assessment (Upto Highest Class - XII),,
,,,207.1,Identification and Assessment (Medical Assessment Camps) (Upto Highest Class XII),Rs. 10000 /- per camp,
,,209,,Capacity Building of Special Educators  (up to Highest Class XII),,
,,,209.1,In-service Training of Special Educators  (Upto Highest Class XII),Upto Rs. 500/- per day per teacher (as per existing In-Service Training Norms),
,,212,,Strengthening Components under Inclusive Education (Upto Highest Class - XII) (NR),,
,,,212.1,Equipments for Resource Rooms,Rs. 2 Lakh per Block resource center (once in 5 years),
,,213,,Resource Support towards Salary (Upto Highest Class XII) (Recurring),,
,,,213.1,Financial Support (Previous Spl. Educators),,1. Should be in-position 2. List of Special Educators posted in Schools with Udise Code. 3 Udise Code of all Schools covered by the concern Special Educators 4.RCI number
,,,213.2,Financial Support (New Spl. Educators ),,1. Should be in-position 2. List of Special Educators posted in Schools with Udise Code. 3 Udise Code of all Schools covered by the concern Special Educators 4.RCI number 
Vocational Education,Introduction of Vocational Education at Secondary and higher Secondary,214,,Introduction of VE in schools  - NR,,
,,,214.1,"Tools, Equipment & Furniture   (New)",No. of Schools to be proposed,
,,,214.2,Classroom Cum Workshop for VE,As per  State SORs/CPWD Rate (Which ever is less),
,,215,,Recurring Support VE - New,,
,,,215.1,Financial Support for Vocational Teacher/ Trainer (New),No. of Trainers to be proposed,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
,,,215.2,Financial Support for Resource Persons (New),No. of School to be proposed,
,,,215.3,Raw material Grant for new school per course (New),No. of Schools to be proposed,
,,,215.4,Cost of providing Hands on Skill Training to Students (New),No. of School to be proposed,
,,,215.5,Assessment and Certification Cost (New),No. of Students to be proposed,
,,,215.6,Office Expenses / Contingencies for New School (New),No. of Schools to be proposed,
,,,215.7,Induction training of Teachers VE - Teachers (10 Days),No. of Trainers to be proposed,
,,,215.8,Recurring Support to Hub and Spoke Model,Upto Rs. 5 Lakh per Spoke School,
,,,215.9,Transportation allowance for Children from Spoke to Hub School,Upto Rs 3000/- per Student,
,,217,,Recurring Support VE - Existing,,
,,,217.1,Financial Support for Vocational Teacher/ Trainer (Existing),No. of Trainers to be proposed,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) 2. Source : PRABANDH"
,,,217.2,Financial Support for Resource Persons (Existing),No. of School to be proposed,
,,,217.3,Raw material grant for new school per course  (Existing),No. of Schools to be proposed,
,,,217.4,Cost of providing Hands Training Students  (Existing),No. of School to be proposed,
,,,217.5,Assessment and Certification Cost (Existing),No. of Students to be proposed,
,,,217.6,Office Expenses / Contingencies for School  (Existing),No. of Schools to be proposed,
,,,217.7,Induction training of VE - Teachers (10 Days) - (Existing),No. of Trainers to be proposed,
,,,217.8,In-service Training of VE - Teachers (5 - Days)  - (Existing),No. of Trainers to be proposed,
,,,217.9,Recurring Support for Hub and SpokeSchools (Previous),,
,,,217.10,Transportation Allowance for Children from Spoke to Hub School (Previous),,
,,218,,Addition of VE Course in Existing Schools - NR,,
,,,218.1,"Tools, Equipment & Furniture  (Existing Schools)",No. of Schools to be proposed,
Sports & Physical Education,Sports & Physical Education,122,,Sports & Physical Education   (upto Highest Class XII),,
,,,122.1,Sports & Physical Education (Secondary),"Up to Rs.25,000. Physical Number Should be proposed per School",Govt. Schools as per UDISE + with enrollment > 0
,,,122.2,Sports & Physical Education (Sr. Secondary),"Up to Rs.25,000. Physical Number Should be proposed per School",Govt. Schools as per UDISE + with enrollment > 0
,,,122.11,Khelo India,Upto Rs. 25000/- per school,
Teacher Education,,,,,,
Teacher Education,Civil Work :Strengthening of physical infrastructure in TEI (SCERTs/DIETs/BITEs),138,,Establishment of Institutions - NR,,
,,,138.1,Construction of DIET Building (Previous Year),As per  State SORs/CPWD Rate (Which ever is less) .,
,,,138.2,Construction of DIET Building (New),As per  State SORs/CPWD Rate (Which ever is less) .,
,,,138.3,Construction of  SCERT Building (New),As per  State SORs/CPWD Rate (Which ever is less) .,
,,,138.4,Construction of SCERT Building (Previous Year),As per  State SORs/CPWD Rate (Which ever is less) .,
,,139,,Establishment of Special Cells in SCERT - NR,,
,,,139.1,Mathematics,Upto Rs.10 lakhs,
,,,139.2,Language/English Education,Upto Rs.10 lakhs,
,,,139.3,Education Technology/Computer,Upto Rs.10 lakhs,
,,,139.4,Social Studies,Upto Rs.10 lakhs,
,,,139.5,Science,Upto Rs.10 lakhs,
,,140,,Strengthening of Physical Infrastructure for New Construction and Expansion of existing TEIs - NR,,
,,,140.2,DIETs,As per  State SORs/CPWD Rate (Which ever is less) .,
,,,140.3,BITEs,As per  State SORs/CPWD Rate (Which ever is less) .,
,,,140.7,SCERT,As per  State SORs/CPWD Rate (Which ever is less),
,,141,,Major and Minor Repair of existing TEIs,,
,,,141.1,SCERT,As per  State SORs/CPWD Rate (Which ever is less) .,
,,,141.2,DIETs,As per  State SORs/CPWD Rate (Which ever is less) .,
,,,141.3,BITEs,As per  State SORs/CPWD Rate (Which ever is less) .,
,Technology Support to TEIs,142,,Technology Support to TEIs (NR),,
,,,142.1,SCERT,Rs. 6.40 lakh (For Hardware & Software Support),
,,,142.2,DIETs,Rs. 6.40 lakh (For Hardware & Software Support),
,,,142.3,BITEs,Rs. 6.40 lakh (For Hardware & Software Support),
,,143,,Technology Support to TEIs (Recurring),,
,,,143.1,SCERT (Technology Support),@Rs 2.40 lacs per SCERT,
,,,143.2,DIETs (Technology Support),@Rs 2.40 lacs per DIET,
,,,143.3,BITEs (Technology Support),@Rs 2.40 lacs per BITE,
,Program & Activities including Faculty Development of Teacher Educators,144,,Program & Activities including Faculty Development of Teacher Educators,,
,,,144.1,Program & Activities (DIET),Upto Rs. 40.00 lakh per DIET,
,,,144.2,Specific projects for Research activities (DIET),Upto Rs. 10.00 lakh per DIET,
,,,144.3,Program & Activities (SCERT),Upto Rs. 40 Lakh per SCERT,
,,,144.4,Specific programme for Research activities (SCERT),Upto Rs.10 lakhs,
,Assessment Cell (SCERT),145,,Assessment Cell,,
,,,145.1,SCERT,Upto Rs. 50 lakhs per annum for setting-up of an assessment cell at the State Level,
,Financial Support for Teacher Educators (TEIs),147,,Financial Support  for Salary in TEIs (Academic Posts),,
,,,147.1,DIETs,As per Samagra Shiksha Norms,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months). 2. Only Academic Post "
,,,147.2,BITEs,As per Samagra Shiksha Norms,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months). 2. Only Academic Post "
,,,147.3,SCERT/SIEs,As per Samagra Shiksha Norms,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months). 2. Only Academic Post "
,,,147.4,IASEs,As per Samagra Shiksha Norms,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months). 2. Only Academic Post "
,,,147.5,CTEs,As per Samagra Shiksha Norms,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months). 2. Only Academic Post "
,,148,,Para Academic Posts (Financial Support),,
,,,148.1,SCERT,As per the Samagra Shiksha,
,,,148.2,DIETs,As per the Samagra Shiksha,
,,,148.3,BITEs,As per the Samagra Shiksha,
,Training of Teacher Educators,149,,Training for Teacher Educators,,
,,,149.1,SCERT,"Blended Training program Teacher Educators Upto 10 days) , Upto Rs 300-500/- per teacher per day",
,,,149.2,DIETs,"Blended Training program Teacher Educators Upto 10 days) , Upto Rs 300-500/- per teacher per day",
,,,149.3,BITEs,"Blended Training program Teacher Educators Upto 10 days) , Upto Rs 300-500/- per teacher per day",
,,,149.4,CTEs,"Blended Training program Teacher Educators Upto 10 days) , Upto Rs 300-500/- per teacher per day",
,,,149.5,IASEs,"Blended Training program Teacher Educators Upto 10 days) , Upto Rs 300-500/- per teacher per day",
,DIKSHA (National Teacher Portal),151,,DIKSHA (National Teacher Portal),,
,,,151.1,"Capacity building and Training for Teachers, Educators and State officials for usgae of DIKSHA",Physical Number should proposed per School / per Hostel,
,,,151.2,Development of Digital Content,,
,Annual Grant for TEIs,152,,Annual Grant for TEIs,,
,,,152.1,BITEs,Up to Rs. 5.00 lakh per BITE,
,,,152.2,DIETs,Up to Rs. 20.00 lakh per DIET,
,,,152.3,SCERT,Up to Rs. 35.00 lakh per SCERT/SIE.,
"Generated as on Tuesday, December 27, 2022",,,,,,
