bo.,Scheme,Major Component,Sub Component,Activity Master ID,Activity Master Name,Activity Master Details ID,Activity Master Details,Norms,Criteria For Appraisal
94,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.18,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
95,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.19,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
96,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.2,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
97,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.21,Provision of Rent,Physical Number to be proposed per School,
98,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.22,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
99,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.23,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
100,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,16,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),,,,
101,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,16,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),16.1,Furniture / Equipment (including kitchen equipment),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
102,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,16,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),16.2,TLM and equipment including library books (New),Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
103,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,16,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),16.3,Bedding (New),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
104,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,16,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),16.4,Replacement of bedding (once in 3 years),Physical should be proposed per Student,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
105,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,16,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),16.5,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
106,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,16,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),16.6,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
107,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,16,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),16.7,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
108,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),,,,
109,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.1,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
110,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.2,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
111,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.3,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
112,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.4,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
113,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.5,1 Head Teacher  in case the enrollment exceeds 100,Physical Number should proposed per Head Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
114,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.6,4 - 5 Fulltime teachers as per RTE Norms,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
115,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.7,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
116,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.8,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
117,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.9,1 Full time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
118,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.1,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
119,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.11,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
120,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.12,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
121,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.13,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
122,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.14,Electricity / water charges,Physical Number should proposed per School per annum,
123,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.15,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
124,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.16,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
125,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.17,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
126,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.18,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
127,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.19,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
128,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.2,Provision of Rent,Physical Number to be proposed per School,
129,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.21,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
130,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.22,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
131,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,20,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),,,,
132,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,20,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),20.1,Bedding (new),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
133,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,20,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),20.2,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
134,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,20,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),20.3,Replacement of bedding (once in 3 years),Physical should be proposed per Student,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
135,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,20,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),20.4,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
136,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,20,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),20.5,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
137,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,20,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),20.6,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
138,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,20,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),20.7,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
