Sr. No,Scheme,Major Component,Sub Component,Activity Master Id,Activity Master Name,Activity Master Details ID,Activity Master Details Name,Norms / Unit Cost,Criteria For Appraisal
121,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,20,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),20.1,Bedding (new),No Norms,
122,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,20,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),20.2,Furniture/ Equipment (including kitchen),No Norms,
123,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,20,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),20.3,Replacement of bedding (once in 3 years),No Norms,
124,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,20,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),20.4,TLM and equipment including library books,No Norms,
125,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,20,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),20.5,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
126,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,20,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),20.6,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),
127,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,20,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),20.7,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
128,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.1,Food/Lodging per child per month,for KGBVs for classes VI to VIII of up to ? 60 lakh per annum,
129,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.2,Stipend   per child per month,,
130,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.3,"Supplementary TLM, Stationery and other educational material",,
131,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.4,1 Warden,,
132,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.5,4 Fulltime teachers as per RTE Norms,,
133,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.6,2 Urdu Teachers,,
134,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.7,3 Part time teachers,,
135,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.8,1 Full Time Accountant,,
136,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.9,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",,
137,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.1,1 Head Cook,,
138,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.11,2 Assistant Cook,,
139,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.12,Specific Skill training,,
140,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.13,Electricity / water charges,,
141,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.14,Medical care/contingencies,,
142,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.15,Maintenance,,
143,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.16,Miscellaneous,,
144,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.17,Preparatory camps,,
145,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.18,P.T.A / school functions,,
146,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.19,Provision of Rent,,
147,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.2,Capacity Building,,
148,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,21,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),21.21,Physical / Self Defence Training,,
149,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.2,Food/Lodging per child per month,for KGBVs for classes VI to VIII of up to ? 60 lakh per annum,
150,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.3,Stipend   per child per month,,
151,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.4,"Supplementary TLM, Stationery and other educational material",,
152,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.5,1 Warden,,
153,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.6,4 Fulltime teachers as per RTE Norms,,
154,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.7,2 Urdu Teachers,,
155,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.8,3 Part time teachers,,
156,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.9,1 Full Time Accountant,,
157,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.1,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",,
158,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.11,1 Head Cook,,
159,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.12,2 Assistant Cook,,
160,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.13,Specific Skill training,,
161,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.14,Electricity / water charges,,
162,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.15,Medical care/contingencies,,
163,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.16,Maintenance,,
164,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.17,Miscellaneous,,
165,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.18,Preparatory camps,,
166,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.19,P.T.A / school functions,,
167,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.2,Provision of Rent,,
168,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.21,Capacity Building,,
169,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,27,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),27.22,Physical / Self Defence Training,,
170,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,29,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 50)   (Elementary),29.1,Furniture/ Equipment (including kitchen),No Norms,
171,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,29,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 50)   (Elementary),29.2,TLM and equipment including library books,No Norms,
172,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,29,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 50)   (Elementary),29.3,Bedding (new),No Norms,
173,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,29,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 50)   (Elementary),29.4,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
174,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,29,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 50)   (Elementary),29.5,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),
175,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,29,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 50)   (Elementary),29.6,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
176,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.2,Stipend   per child per month,for KGBVs for classes VI to VIII of up to ? 60 lakh per annum,
177,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.4,"Supplementary TLM, Stationery and other educational material",,
178,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.5,1 Warden,,
179,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.6,3 Part time teachers,,
180,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.7,1 Full Time Accountant,,
181,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.8,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",,
182,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.9,1 Head Cook,,
183,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.1,2 Assistant Cook,,
184,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.11,Specific Skill training,,
185,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.12,Electricity / water charges,,
186,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.13,Medical care/contingencies,,
187,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.14,Maintenance,,
188,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.15,Miscellaneous,,
189,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.16,Preparatory camps,,
190,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.17,P.T.A / school functions,,
191,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.18,Provision of Rent,,
192,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.19,Capacity Building,,
193,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.2,Physical / Self Defence Training,,
194,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,30,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),30.21,Food/Lodging per child per month,,
195,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,31,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),31.1,Furniture/ Equipment (including kitchen),No Norms,
196,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,31,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),31.2,TLM and equipment including library books,No Norms,
197,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,31,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),31.3,Bedding (new),No Norms,
198,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,31,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),31.4,Replacement of bedding (once in 3 years),No Norms,
199,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,31,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),31.5,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
